id,title,release_date,budget,revenue,status,tagline,runtime,popularity,original_language,homepage,adult,overview,languages,production_countries,production_companies,genres
578,Jaws,1975-06-18,7000000,470653000,Released,Don't go in the water,124,2.8368E+01,en,https://www.uphe.com/movies/jaws,false,"When an insatiable great white shark terrorizes the townspeople of Amity Island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the blood-thirsty beast.",English,United States of America,"Zanuck/Brown Productions,Universal Pictures","Horror,Thriller,Adventure"
429,"The Good, the Bad and the Ugly",1966-12-23,1200000,25118063,Released,For three men the Civil War wasn't hell. It was practice.,161,2.7847E+01,it,"http://www.mgm.com/#/our-titles/766/The-Good,-the-Bad-and-the-Ugly",false,"While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",Italiano,"United States of America,Italy,Spain,Germany","United Artists,Constantin Film,PEA,Arturo González Producciones Cinematográficas S.A.",Western
10882,Sleeping Beauty,1959-02-17,6000000,51000000,Released,Awaken to a World of Wonders!,75,1.8583E+01,en,,false,"A beautiful princess born in a faraway kingdom is destined by a terrible curse to prick her finger on the spindle of a spinning wheel and fall into a deep sleep that can only be awakened by true love's first kiss. Determined to protect her, her parents ask three fairies to raise her in hiding. But the evil Maleficent is just as determined to seal the princess's fate.",English,United States of America,"Walt Disney Pictures,Walt Disney Productions","Fantasy,Animation,Romance,Family"
10693,Peter Pan,1953-02-05,4000000,87404651,Released,It will live in your heart forever!,77,2.0856E+01,en,,false,"Leaving the safety of their nursery behind, Wendy, Michael and John follow Peter Pan to a magical world where childhood lasts forever. But while in Neverland, the kids must face Captain Hook and foil his attempts to get rid of Peter for good.",English,United States of America,"RKO Radio Pictures,Walt Disney Pictures,Walt Disney Productions","Animation,Family,Adventure,Fantasy"
419704,Ad Astra,2019-09-17,87500000,132807427,Released,The answers we seek are just outside our reach,123,5.81092E+02,en,https://www.foxmovies.com/movies/ad-astra,false,"The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.","English,Norsk","Brazil,China,United States of America","New Regency Productions,Keep Your Head,MadRiver Pictures,Plan B Entertainment,RT Features,Bona Film Group,TSG Entertainment","Science Fiction,Drama"
11224,Cinderella,1950-02-22,2900000,263591415,Released,The greatest love story ever told.,74,1.8932E+01,en,http://movies.disney.com/cinderella-1950,false,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",English,United States of America,"Walt Disney Pictures,Walt Disney Productions","Family,Fantasy,Animation,Romance"
3082,Modern Times,1936-02-05,1500000,8500000,Released,"He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!",87,1.2132E+01,en,,false,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,No Language,United States of America,"United Artists,Charles Chaplin Productions","Drama,Comedy"
78,Blade Runner,1982-06-25,28000000,41473619,Released,Man has made his match... now it's his problem.,118,3.2945E+01,en,http://www.warnerbros.com/blade-runner,false,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.","English,Deutsch,广州话 / 廣州話,日本語,Magyar","United States of America,Hong Kong,United Kingdom","Shaw Brothers,The Ladd Company,Warner Bros. Pictures","Science Fiction,Drama,Thriller"
744,Top Gun,1986-05-16,15000000,356830601,Released,Up there with the best of the best.,110,3.1949E+01,en,,false,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",English,United States of America,Paramount,"Action,Drama"
12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-07,125000000,1341511219,Released,It all ends here.,130,3.8053E+01,en,https://www.warnerbros.com/movies/harry-potter-and-deathly-hallows-part-2/,false,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",English,"United Kingdom,United States of America","Warner Bros. Pictures,Heyday Films","Fantasy,Adventure"
668,On Her Majesty's Secret Service,1969-12-12,6500000,81974493,Released,Far up! Far out! Far more! James Bond 007 is back!,142,1.7441E+01,en,https://www.mgm.com/movies/on-her-majestys-secret-service,false,"James Bond tracks his archnemesis, Ernst Blofeld, to a mountaintop retreat where he is training an army of beautiful, lethal women. Along the way, Bond falls for Italian contessa Tracy Draco, and marries her in order to get closer to Blofeld.","English,Deutsch","United Kingdom,United States of America","United Artists,Eon Productions,Danjaq,Metro-Goldwyn-Mayer","Adventure,Action,Thriller"
299536,Avengers: Infinity War,2018-04-25,300000000,2046239637,Released,An entire universe. Once and for all.,149,6.6263E+01,en,https://www.marvel.com/movies/avengers-infinity-war,false,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","English,",United States of America,Marvel Studios,"Adventure,Action,Science Fiction"
98,Gladiator,2000-05-01,103000000,460583960,Released,A Hero Will Rise.,171,2.9532E+01,en,,false,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",English,"United Kingdom,United States of America","Universal Pictures,Scott Free Productions,Red Wagon Entertainment,Mill Film,C & L,Dawliz,DreamWorks Pictures","Action,Drama,Adventure"
3059,Intolerance: Love's Struggle Throughout the Ages,1916-09-04,8394751,4000000,Released,The Cruel Hand of Intolerance,197,9.884E+00,en,,false,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",No Language,United States of America,"Triangle Film Corporation,Wark Producing Corp.","Drama,History"
346,Seven Samurai,1954-04-26,2000000,271841,Released,The Mighty Warriors Who Became the Seven National Heroes of a Small Town,207,1.9956E+01,ja,,false,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food. A giant battle occurs when 40 bandits attack the village.",日本語,Japan,"Toho Company, Ltd.","Action,Drama"
19,Metropolis,1927-01-10,1300000,650422,Released,There can be no understanding between the hands and the brain unless the heart acts as mediator.,153,1.6083E+01,de,,false,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",No Language,Germany,Universum Film (UFA),"Drama,Science Fiction"
