id,title,release_date,budget,revenue,status,tagline,runtime,popularity,original_language,homepage,adult,overview,languages,production_countries,production_companies,genres
338762,Bloodshot,2020-03-05,42000000,24573617,Released,Being a superhero is in his blood,110,1.96612E+02,en,https://www.bloodshot.movie/,false,"After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.",English,"China,United States of America","Sony Pictures,Cross Creek Pictures,Mimran Schur Pictures,Original Film,The Hideaway Entertainment,Valiant Entertainment,Columbia Pictures,One Race,Bona Film Group","Action,Science Fiction"
419704,Ad Astra,2019-09-17,87500000,132807427,Released,The answers we seek are just outside our reach,123,5.76477E+02,en,https://www.foxmovies.com/movies/ad-astra,false,"The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.","English,Norsk","Brazil,China,United States of America","New Regency Productions,Keep Your Head,MadRiver Pictures,Plan B Entertainment,RT Features,Bona Film Group,TSG Entertainment","Science Fiction,Drama"
98,Gladiator,2000-05-01,103000000,460583960,Released,A Hero Will Rise.,171,3.0539E+01,en,,false,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",English,"United Kingdom,United States of America","Universal Pictures,Scott Free Productions,Red Wagon Entertainment,Mill Film,C & L,Dawliz,DreamWorks Pictures","Action,Drama,Adventure"
299536,Avengers: Infinity War,2018-04-25,300000000,2046239637,Released,An entire universe. Once and for all.,149,7.2271E+01,en,https://www.marvel.com/movies/avengers-infinity-war,false,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","English,",United States of America,Marvel Studios,"Adventure,Action,Science Fiction"
920,Cars,2006-06-08,120000000,461983149,Released,Ahhh... it's got that new movie smell.,117,8.9644E+01,en,http://disney.go.com/disneyvideos/animatedfilms/cars/,false,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters.","English,Italiano,日本語,",United States of America,"Pixar,Walt Disney Pictures","Animation,Adventure,Comedy,Family"
272,Batman Begins,2005-06-10,150000000,374218673,Released,Evil fears the knight.,140,3.2702E+01,en,https://www.warnerbros.com/movies/batman-begins/,false,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.","English,اردو,普通话","United Kingdom,United States of America","DC Comics,Legendary Entertainment,DC Entertainment,Syncopy,Patalex III Productions Limited,Warner Bros. Pictures","Action,Crime,Drama"
454626,Sonic the Hedgehog,2020-02-12,85000000,306766470,Released,A Whole New Speed of Hero,99,1.16808E+02,en,https://www.paramountmovies.com/movies/sonic-the-hedgehog,false,"Based on the global blockbuster videogame franchise from Sega, Sonic the Hedgehog tells the story of the world’s speediest hedgehog as he embraces his new home on Earth. In this live-action adventure comedy, Sonic and his new best friend team up to defend the planet from the evil genius Dr. Robotnik and his plans for world domination.",English,"Canada,Japan,United States of America","Original Film,Blur Studios,Marza Animation Planet,Paramount,SEGA,DJ2 Entertainment,Paramount Animation,Digital Makeup Group,Stories International","Action,Science Fiction,Comedy,Family"
672,Harry Potter and the Chamber of Secrets,2002-11-13,100000000,876688482,Released,Hogwarts is back in session.,161,4.4673E+01,en,https://www.warnerbros.com/movies/harry-potter-and-chamber-secrets/,false,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",English,"Germany,United Kingdom,United States of America","1492 Pictures,Heyday Films,Warner Bros. Pictures","Adventure,Fantasy"
671,Harry Potter and the Philosopher's Stone,2001-11-16,125000000,976475550,Released,Let the Magic Begin.,152,5.7693E+01,en,https://www.warnerbros.com/movies/harry-potter-and-sorcerers-stone/,false,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",English,"United Kingdom,United States of America","Warner Bros. Pictures,Heyday Films,1492 Pictures","Adventure,Fantasy,Family"
110415,Snowpiercer,2013-08-01,39200000,86758912,Released,"AD 2031, the passengers in the train are the only survivors on Earth.",127,3.9121E+01,ko,http://snowpiercer-film.com/,false,"In a future where a failed global-warming experiment kills off most life on the planet, a class system evolves aboard the Snowpiercer, a train that travels around the globe via a perpetual-motion engine.","English,Français,日本語,한국어/조선말","South Korea,Czech Republic,United States of America","CJ Entertainment,Opus Pictures,Stillking Films,SnowPiercer,Moho Film,Union Investment Partners","Action,Science Fiction,Drama"
